,datetime,By_or_at_Musk,variable,value
876,2022-07-26 00:00:00+00:00,By @elonmusk,ukraine,0.0
877,2022-07-26 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
878,2022-07-27 00:00:00+00:00,By @elonmusk,ukraine,0.0
879,2022-07-27 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
880,2022-07-28 00:00:00+00:00,By @elonmusk,ukraine,0.0
881,2022-07-28 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
882,2022-07-29 00:00:00+00:00,By @elonmusk,ukraine,0.0
883,2022-07-29 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
884,2022-07-30 00:00:00+00:00,By @elonmusk,ukraine,0.0
885,2022-07-30 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
886,2022-07-31 00:00:00+00:00,By @elonmusk,ukraine,0.0
887,2022-07-31 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
888,2022-08-01 00:00:00+00:00,By @elonmusk,ukraine,0.0
889,2022-08-01 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
890,2022-08-02 00:00:00+00:00,By @elonmusk,ukraine,0.0
891,2022-08-02 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
892,2022-08-03 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
893,2022-08-04 00:00:00+00:00,By @elonmusk,ukraine,0.0
894,2022-08-04 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
895,2022-08-05 00:00:00+00:00,By @elonmusk,ukraine,0.0
896,2022-08-05 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
897,2022-08-06 00:00:00+00:00,By @elonmusk,ukraine,0.0
898,2022-08-06 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
899,2022-08-07 00:00:00+00:00,By @elonmusk,ukraine,0.0
900,2022-08-07 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
901,2022-08-08 00:00:00+00:00,By @elonmusk,ukraine,0.0
902,2022-08-08 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
903,2022-08-09 00:00:00+00:00,By @elonmusk,ukraine,0.0
904,2022-08-09 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
905,2022-08-10 00:00:00+00:00,By @elonmusk,ukraine,0.0
